[INFO] 2019-12-25 14:36:57,079 [ TestNG-test=fanfantest-1:0 ] basic.setUp.setup(setUp.java:17)打开浏览器
[INFO] 2019-12-25 14:38:13,312 [ TestNG-test=fanfantest-1:0 ] basic.setUp.setup(setUp.java:17)打开浏览器
[INFO] 2019-12-25 14:38:58,608 [ TestNG-test=fanfantest-1:0 ] basic.setUp.setup(setUp.java:17)打开浏览器
[INFO] 2019-12-25 14:39:08,957 [ TestNG-test=fanfantest-1:10349 ] basic.setUp.setup(setUp.java:23)窗口最大化
[INFO] 2019-12-25 14:39:12,514 [ TestNG-test=fanfantest-1:13906 ] controler.goumai.mai(goumai.java:25)读取excel
[INFO] 2019-12-25 14:39:12,525 [ TestNG-test=fanfantest-1:13917 ] controler.goumai.mai(goumai.java:29)测试用例内容:{0=http://192.168.1.23, 1=15900000002, 2=15900000002, 3=大白菜 土地, 4=yes, 5=}
[INFO] 2019-12-25 14:39:12,526 [ TestNG-test=fanfantest-1:13918 ] basic.Mai.<init>(Mai.java:21)PC端购买
[INFO] 2019-12-25 14:39:12,527 [ TestNG-test=fanfantest-1:13919 ] basic.Mai.<init>(Mai.java:33)余额支付
[INFO] 2019-12-25 14:39:12,528 [ TestNG-test=fanfantest-1:13920 ] basic.Mai.<init>(Mai.java:56)PC登录
[INFO] 2019-12-25 14:39:22,220 [ TestNG-test=fanfantest-1:23612 ] basic.Pc.GouMaiYuE(Pc.java:100)输入商品名称
[INFO] 2019-12-25 14:39:22,599 [ TestNG-test=fanfantest-1:23991 ] basic.Pc.GouMaiYuE(Pc.java:103)点击查找
[INFO] 2019-12-25 14:39:24,992 [ TestNG-test=fanfantest-1:26384 ] basic.Pc.GouMaiYuE(Pc.java:107)点击商品
[INFO] 2019-12-25 14:39:26,548 [ TestNG-test=fanfantest-1:27940 ] basic.Pc.GouMaiYuE(Pc.java:111)店铺名称:老宋店铺
[INFO] 2019-12-25 14:39:27,494 [ TestNG-test=fanfantest-1:28886 ] basic.Pc.GouMaiYuE(Pc.java:117)购买数量:2
[INFO] 2019-12-25 14:39:31,059 [ TestNG-test=fanfantest-1:32451 ] basic.Pc.GouMaiYuE(Pc.java:122)立即购买
[INFO] 2019-12-25 14:39:31,077 [ TestNG-test=fanfantest-1:32469 ] basic.Pc.GouMaiYuE(Pc.java:128)向下滚动
[INFO] 2019-12-25 14:39:34,341 [ TestNG-test=fanfantest-1:35733 ] basic.Pc.GouMaiYuE(Pc.java:138)提交订单
[INFO] 2019-12-25 14:39:37,492 [ TestNG-test=fanfantest-1:38884 ] basic.Pc.GouMaiYuE(Pc.java:142)确定
[INFO] 2019-12-25 14:39:37,528 [ TestNG-test=fanfantest-1:38920 ] basic.Pc.GouMaiYuE(Pc.java:146)采购单号:912250900544
